artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
La Kajofol,Hijo De La Luna (Moonchild) [Radio Edit],677202972,1.0,13,1880,2160,ip9UY6YqLVA,source.mp3
Flek,Plata O Plomo,685657840,1.0,12,3180,3400,ip9UY6YqLVA,source.mp3
shugz & Matty Ralph,Decim8,654852663,1.0,10,4580,4760,ip9UY6YqLVA,source.mp3
Indecorum,Feel So Good,703587636,1.0,9,1440,1600,ip9UY6YqLVA,source.mp3
Lana Del Rey,Say Yes To Heaven (sim0ne & Melo Nada Remix),664687632,1.0,9,5060,5220,ip9UY6YqLVA,source.mp3
AKOLYTE,Furya,668945831,1.0,8,1280,1420,ip9UY6YqLVA,source.mp3
Mr.Machine,Another Space,674869394,1.0,7,980,1140,ip9UY6YqLVA,source.mp3
2VINE,Kärttina Väppe,668862599,1.0,6,40,200,ip9UY6YqLVA,source.mp3
Flawx,Need Money,680291942,1.0,6,880,1040,ip9UY6YqLVA,source.mp3
Ashnikko,STUPID (feat. Yung Baby Tate) [Dolphin Edit],472419182,1.0,3,5240,5300,ip9UY6YqLVA,source.mp3
Värttinä,Käppee,5439197,0.667,2,0,20,ip9UY6YqLVA,source.mp3
Vortek's,No Way,808960124,0.667,2,1260,4420,ip9UY6YqLVA,source.mp3
Sensity World,Get It Up,56026619,0.667,2,1680,1720,ip9UY6YqLVA,source.mp3
BigManWill,More Than Friends,676217652,0.667,2,4340,4360,ip9UY6YqLVA,source.mp3
"Bountyhunter, Dimitri Vegas & Junkie Kid",Woops (Dimitri Vegas & Junkie Kid Remix),716237785,0.333,1,140,140,ip9UY6YqLVA,source.mp3
Audiorush & Inlaw Project,Little Bird (Audiorush vs. Inlaw Project),417573776,0.333,1,160,160,ip9UY6YqLVA,source.mp3
CARV,I Am Disaster,688957698,0.333,1,280,280,ip9UY6YqLVA,source.mp3
Bountyhunter,Woops (Dimitri Vegas & Junkie Kid Remix) [Live At Tomorrowland],713632171,0.333,1,360,360,ip9UY6YqLVA,source.mp3
Digital Boy,The Mountain Of King (feat. Asia),319392151,0.333,1,840,840,ip9UY6YqLVA,source.mp3
$uicideboy$,Carrollton,433800259,0.333,1,860,860,ip9UY6YqLVA,source.mp3
ARGOT,CLUB BIZARRE (EDIT),822701157,0.333,1,1120,1120,ip9UY6YqLVA,source.mp3
Sensity World,X-Tasy in Paradise (Euromix),266400416,0.333,1,1160,1160,ip9UY6YqLVA,source.mp3
Cherry Moon Trax,The House of House,5672690,0.333,1,1180,1180,ip9UY6YqLVA,source.mp3
vapke,fukkdatcosign (mxnn mix) (feat. Mxnn),847960605,0.333,1,2800,2800,ip9UY6YqLVA,source.mp3
DAVY,Ravelation 5.0 (Groove) 05-05-23,687577423,0.333,1,3120,3120,ip9UY6YqLVA,source.mp3
Gh05T,Just Give Me Your Hand,98658951,0.333,1,4080,4080,ip9UY6YqLVA,source.mp3
RAJA,Animal,701595242,0.333,1,4120,4120,ip9UY6YqLVA,source.mp3
Zion Train,Raisa A Dub (Bungalodub Remix),332599384,0.333,1,5020,5020,ip9UY6YqLVA,source.mp3
4000 Hz,Stupid,693400746,0.333,1,5260,5260,ip9UY6YqLVA,source.mp3
