artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
SLANDER & William Black,Keep U Warm (feat. Jordan Shaw),697758878,1.0,5,1580,1660,5oM481_pWh8,source.mp3
William Black,Haven (feat. Dia Frampton) [Gammer Remix],585498749,1.0,5,2400,2500,5oM481_pWh8,source.mp3
William Black,Stay (feat. Trella) [Afinity Remix],690367800,1.0,4,740,800,5oM481_pWh8,source.mp3
Kaaris & Mr Carmack & Boombox Cartel,Chargé (ISOxo Remix),661217795,1.0,4,1220,1280,5oM481_pWh8,source.mp3
SLANDER & William Black,Back To U (Acoustic),514972934,1.0,4,2120,2180,5oM481_pWh8,source.mp3
William Black & Said The Sky,All Falls Down,710384024,1.0,4,2600,2660,5oM481_pWh8,source.mp3
"Seven Lions, SLANDER, Dabin & Dylan Matthew",First Time (feat. Dylan Matthew),441605429,1.0,3,440,480,5oM481_pWh8,source.mp3
William Black,Deep Blue (feat. Monika Santucci),479553480,1.0,3,500,560,5oM481_pWh8,source.mp3
"Dillon Francis, ILLENIUM & EVAN GIIA",Don't Let Me Let Go (Zomboy Remix),621430378,1.0,3,1840,1880,5oM481_pWh8,source.mp3
SLANDER & Dylan Matthew,Love Is Gone (feat. Dylan Matthew),466568490,0.667,2,860,880,5oM481_pWh8,source.mp3
SLANDER & blackbear,Wish I Could Forget (feat. Bring Me The Horizon) [Zomboy Remix],662922877,0.667,2,1400,1420,5oM481_pWh8,source.mp3
Armstrong,Close,485765407,0.333,1,140,140,5oM481_pWh8,source.mp3
"William Black, Fairlane & AMIDY",Nightmare,823894393,0.333,1,240,240,5oM481_pWh8,source.mp3
Kotn,Track 1,810189188,0.333,1,360,360,5oM481_pWh8,source.mp3
ILLENIUM & Kill the Noise,Don't Give up on Me (feat. Mako),406752247,0.333,1,680,680,5oM481_pWh8,source.mp3
Todd Donnelly,Fiddler Crab,91561710,0.333,1,820,820,5oM481_pWh8,source.mp3
SLANDER & Dylan Matthew,Love Is Gone (feat. Dylan Matthew) [ALRT Remix],498511111,0.333,1,840,840,5oM481_pWh8,source.mp3
SLANDER & RIOT,You Don't Even Know Me,440175659,0.333,1,920,920,5oM481_pWh8,source.mp3
Odd Language,Loot,841292861,0.333,1,1160,1160,5oM481_pWh8,source.mp3
"Jey Agredo, Aleteo Vip HD, Guaracha Aleteo Vip & Guaracha Sound",Repressed Energy,704761911,0.333,1,1340,1340,5oM481_pWh8,source.mp3
SLANDER & blackbear,Wish I Could Forget (William Black Remix),810209360,0.333,1,1440,1440,5oM481_pWh8,source.mp3
"ISOxo, Knock2, RL Grime & ISOKNOCK",SMACK TALK,703890763,0.333,1,1560,1560,5oM481_pWh8,source.mp3
Flower Volove,And My Love,637371255,0.333,1,1700,1700,5oM481_pWh8,source.mp3
Linkin Park,Numb (Keiron Raven Remix),467019521,0.333,1,1720,1720,5oM481_pWh8,source.mp3
Dabin & Said The Sky,In the End (feat. Clara Mae) [Jason Ross Remix],704762033,0.333,1,2220,2220,5oM481_pWh8,source.mp3
Endurance,Elevate,644569406,0.333,1,2480,2480,5oM481_pWh8,source.mp3
Vladimir Savchuk,Worthy Is Your Name (Soaking Instrumental),831100077,0.333,1,2580,2580,5oM481_pWh8,source.mp3
