artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Steve Aoki,Cake Face,224886584,1.0,9,1520,1740,ImnuShU4bgc,source.mp3
"Steve Aoki, Chris Lake & Tujamo",Boneless,200760808,1.0,6,540,640,ImnuShU4bgc,source.mp3
"Steve Aoki, Trippie Redd & Jessica Baio",Radio (feat. KABU),814476435,1.0,6,1280,1440,ImnuShU4bgc,source.mp3
"Steve Aoki, Sam Feldt, XANDRA, Zak Abel & Nile Rodgers",I'm Going Out (Aoki's VIP Edit),816303578,1.0,5,220,300,ImnuShU4bgc,source.mp3
"Steve Aoki, David Guetta & Swae Lee",My Life (feat. PnB Rock & KABU),810690211,1.0,5,880,960,ImnuShU4bgc,source.mp3
"Steve Aoki, Trippie Redd & Jessica Baio",Radio (Steve Aoki & Cesqeaux Remix) [feat. KABU],820725024,1.0,5,1300,1480,ImnuShU4bgc,source.mp3
Kid Cudi,Pursuit of Happiness (Steve Aoki Remix) [Extended] [feat. MGMT & Ratatat],51178858,1.0,5,1920,2000,ImnuShU4bgc,source.mp3
Steve Aoki & Kaaze,Whole Again (feat. John Martin),618737276,1.0,4,120,200,ImnuShU4bgc,source.mp3
RØZ & iza tkm,tiempo,850220307,1.0,4,1020,1080,ImnuShU4bgc,source.mp3
Kid Cudi,Day 'n' Nite (Crookers Remix),47480803,1.0,4,1760,1820,ImnuShU4bgc,source.mp3
Steve Aoki & Moxie Raia,I Love It When You Cry (Moxoki) [Radio Edit],227704799,1.0,3,340,380,ImnuShU4bgc,source.mp3
Post Malone & Swae Lee,Sunflower (Spider-Man: Into the Spider-Verse),443775269,1.0,3,780,820,ImnuShU4bgc,source.mp3
Trippie Redd & Playboi Carti,Miss The Rage,555506249,1.0,3,1120,1200,ImnuShU4bgc,source.mp3
Mike Posner & Steve Aoki,I Took a Pill in Ibiza,824961886,0.667,2,720,740,ImnuShU4bgc,source.mp3
Eric Beta,Memories,438919391,0.667,2,1860,1880,ImnuShU4bgc,source.mp3
"Steve Aoki, Blasterjaxx & Lil Jon",Get Down,839492517,0.667,2,2040,2060,ImnuShU4bgc,source.mp3
Morgan Page,The Longest Road (feat. Lissie) [Deadmau5 Remix] [Mixed],45830373,0.333,1,20,20,ImnuShU4bgc,source.mp3
Steve Aoki,Maximus,827040363,0.333,1,40,40,ImnuShU4bgc,source.mp3
Borai & Denham Audio,Make Me,464046087,0.333,1,80,80,ImnuShU4bgc,source.mp3
The Whiteliner,Yeahhh (Konstantin Wallner Remix),57254297,0.333,1,100,100,ImnuShU4bgc,source.mp3
Di Feno & Alls,Touch Your Mind (feat. Karine Lima) [Arias Remix],71563200,0.333,1,180,180,ImnuShU4bgc,source.mp3
Addicted Craze,Hold Me Tight (Pulsedriver Remix Edit),87810220,0.333,1,400,400,ImnuShU4bgc,source.mp3
Yvng Ryuki,Underground diss,652935658,0.333,1,480,480,ImnuShU4bgc,source.mp3
Stromae,Alors on danse (feat. Erik Hassle),50881429,0.333,1,520,520,ImnuShU4bgc,source.mp3
OVOU,Decima,832590432,0.333,1,660,660,ImnuShU4bgc,source.mp3
TJR,Funky Vodka,58125526,0.333,1,1540,1540,ImnuShU4bgc,source.mp3
Wilfrido Vargas,Abusadora,269431419,0.333,1,2100,2100,ImnuShU4bgc,source.mp3
