artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Alan Walker,Faded (Ranji Remake),360503455,1.0,3,5660,5760,dGyK53YHl6Y,source.mp3
Kalas,HSJ (Bonus Track),471075655,0.667,2,780,4300,dGyK53YHl6Y,source.mp3
Lionis & Revaeon,Symphony (feat. Barmuda),701919137,0.667,2,800,820,dGyK53YHl6Y,source.mp3
LMFAO,Party Rock Anthem (feat. Lauren Bennett & GoonRock),53316819,0.667,2,880,900,dGyK53YHl6Y,source.mp3
costel_hoc,DANCE PARTY,712060734,0.667,2,1300,1320,dGyK53YHl6Y,source.mp3
Sia,Move Your Body (Alan Walker Remix),331817623,0.667,2,1640,1660,dGyK53YHl6Y,source.mp3
Avicii,Levels,54554760,0.667,2,2480,2500,dGyK53YHl6Y,source.mp3
Showtek,"Booyah (feat. We Are Loud, Sonny Wilson)",92149787,0.667,2,2700,2720,dGyK53YHl6Y,source.mp3
SKENZ & RKENZ,Lily,625475180,0.667,2,3100,3120,dGyK53YHl6Y,source.mp3
"Alan Walker Feat. K 391, Tungevaag, Mangoo",Play (D-Nation & AudioTaste Remix),575592206,0.667,2,3460,3520,dGyK53YHl6Y,source.mp3
"K-391, Alan Walker & Tungevaag",Play (feat. Mangoo & INFANCTUS) [INFANCTUS Remix],499589218,0.667,2,3480,3500,dGyK53YHl6Y,source.mp3
"Alan Walker, Steve Aoki, Lonely Club & Arash",Broken Angel (This is Lonely Club) [Lonely Club Live Mix],853348033,0.667,2,5140,5160,dGyK53YHl6Y,source.mp3
Metro,Xhanem,859766745,0.333,1,340,340,dGyK53YHl6Y,source.mp3
Galck & Lowrise,Renegade (Extended Mix),497772863,0.333,1,840,840,dGyK53YHl6Y,source.mp3
TJR,We Wanna Party (feat. Savage),313357790,0.333,1,940,940,dGyK53YHl6Y,source.mp3
Yufo & NLW,Bounce Again (NLW Edit),683617986,0.333,1,980,980,dGyK53YHl6Y,source.mp3
Dr. Dre,The Next Episode (feat. Snoop Dogg),10525716,0.333,1,1080,1080,dGyK53YHl6Y,source.mp3
Mouh Milano & Didine Canon 16,Machafouhach Vs Fi Hwak (Master T Remix),573276575,0.333,1,1100,1100,dGyK53YHl6Y,source.mp3
iWSDM,WEALTH PROGRAM,715758914,0.333,1,1180,1180,dGyK53YHl6Y,source.mp3
Bingo Players,Get Up (Rattle) [feat. Far East Movement] [Vocal Edit],69489139,0.333,1,1200,1200,dGyK53YHl6Y,source.mp3
Bingo Players,Rattle,53892832,0.333,1,1220,1220,dGyK53YHl6Y,source.mp3
Tujamo & TV Noise,Ravers,681839065,0.333,1,1280,1280,dGyK53YHl6Y,source.mp3
Pryda,Animal,49307048,0.333,1,1520,1520,dGyK53YHl6Y,source.mp3
"Ali Payami, Aquagen & Warp Brothers",Blade (Ali Payami Original),46651366,0.333,1,1680,1680,dGyK53YHl6Y,source.mp3
GabrielMusic,Love,680980503,0.333,1,1880,1880,dGyK53YHl6Y,source.mp3
Josh Gomez & DJ Eddu,Slap House Hits (Party Club Dance 3) [Bootleg] [Remix],680425936,0.333,1,2520,2520,dGyK53YHl6Y,source.mp3
Julio Navas & David Amo,Thank U,72133105,0.333,1,2680,2680,dGyK53YHl6Y,source.mp3
H?i Minn,Lily (Remix),608390881,0.333,1,3080,3080,dGyK53YHl6Y,source.mp3
NOX EDM,Lily (LEA Remix),589948366,0.333,1,3260,3260,dGyK53YHl6Y,source.mp3
Rome 'n' Angel,Thank You,688150246,0.333,1,3320,3320,dGyK53YHl6Y,source.mp3
Tungevaag & KRAIZ,Seven Nation Army,706457737,0.333,1,3340,3340,dGyK53YHl6Y,source.mp3
"K-391, Alan Walker & Tungevaag",Play (feat. Mangoo & ElementD) [ElementD Remix],499589234,0.333,1,3540,3540,dGyK53YHl6Y,source.mp3
Wubotomy,Watch Out,694863726,0.333,1,3560,3560,dGyK53YHl6Y,source.mp3
3ïn,Lost Control,460086596,0.333,1,4080,4080,dGyK53YHl6Y,source.mp3
Dé La Crüz,Mr Walker,604596293,0.333,1,4140,4140,dGyK53YHl6Y,source.mp3
Ridney,At Night,51974107,0.333,1,4320,4320,dGyK53YHl6Y,source.mp3
柠一,互不相知普情长,614921042,0.333,1,4340,4340,dGyK53YHl6Y,source.mp3
Armin van Buuren,Sonic Samba (Rising Star Extended Remix),850111742,0.333,1,5400,5400,dGyK53YHl6Y,source.mp3
