artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Alan Walker,The Spectre,373163593,1.0,9,4160,4400,dGyK53YHl6Y,source.mp3
Alan Walker,Faded,297103606,1.0,9,5480,5640,dGyK53YHl6Y,source.mp3
Alan Walker & Ava Max,"Alone, Pt. II",504678700,1.0,8,2260,2400,dGyK53YHl6Y,source.mp3
Alan Walker & FAANGS,Heartbreak Melody,831424257,1.0,8,2900,3040,dGyK53YHl6Y,source.mp3
Alan Walker & Farruko,"Old Habits (feat. Sofía Reyes, Acko & K3YN0T3) [Techno Remix]",839419881,1.0,8,4720,4860,dGyK53YHl6Y,source.mp3
Alan Walker,Alone,335950198,1.0,7,1380,1500,dGyK53YHl6Y,source.mp3
Alan Walker,Darkside (Afrojack & Chasner Remix),446081606,1.0,6,600,760,dGyK53YHl6Y,source.mp3
"The Walkers, Alan Walker & SAPPHIRE",Unity,479174324,1.0,6,2140,2240,dGyK53YHl6Y,source.mp3
Mesto,Caramelle,845920569,1.0,5,1020,1160,dGyK53YHl6Y,source.mp3
R3HAB & Skytech,Hypnotising,813655233,1.0,5,3640,3780,dGyK53YHl6Y,source.mp3
Bassmasters,Darkside,536559257,1.0,5,4880,4980,dGyK53YHl6Y,source.mp3
"Alan Walker, Steve Aoki, Lonely Club & Arash",Broken Angel (This is Lonely Club),845413910,1.0,5,5040,5120,dGyK53YHl6Y,source.mp3
Sia,Move Your Body,308021056,1.0,4,1560,1620,dGyK53YHl6Y,source.mp3
Alan Walker,The Drum (Bad Reputation Remix),623779932,1.0,4,2600,2660,dGyK53YHl6Y,source.mp3
Coldplay,A Sky Full of Stars,118982070,1.0,4,2760,2860,dGyK53YHl6Y,source.mp3
Lister,Rock the Beat,688492707,1.0,4,3380,3440,dGyK53YHl6Y,source.mp3
"Alan Walker, Dash Berlin & Vikkstar","Better Off (Alone, Pt. III)",677651695,1.0,4,4560,4620,dGyK53YHl6Y,source.mp3
"Alan Walker, Dash Berlin & Vikkstar","Better off (Alone, Pt. III) [Timmy Trumpet Remix]",685379639,1.0,4,4640,4700,dGyK53YHl6Y,source.mp3
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,461225462,1.0,4,5300,5360,dGyK53YHl6Y,source.mp3
"Alan Walker, Au/Ra & Tomine Harket",Darkside,432338272,1.0,3,640,680,dGyK53YHl6Y,source.mp3
Alan Walker & Ava Max,"Alone, Pt. II (NIVIRO Remix)",508337424,1.0,3,2420,2460,dGyK53YHl6Y,source.mp3
"Alan Walker, K-391 & Emelie Hollow",Lily,452613663,1.0,3,3140,3240,dGyK53YHl6Y,source.mp3
New World Sound & No Talent,Buoy,252497381,1.0,3,3580,3620,dGyK53YHl6Y,source.mp3
Alan Walker & Sorana,Lost Control,452613664,1.0,3,3980,4100,dGyK53YHl6Y,source.mp3
Bruno Mars,Talking to the Moon,52749818,1.0,3,5180,5220,dGyK53YHl6Y,source.mp3
"Alan Walker, Sabrina Carpenter & Farruko",On My Way (Da Tweekaz Remix),470355108,1.0,3,5240,5280,dGyK53YHl6Y,source.mp3
