artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
"AC Slater, Redlight & SadBoi",Bitches Over Boys,808014507,1.0,10,1260,1440,F9V7GqVWSio,source.mp3
Chris Lorenzo & Amyl and The Sniffers,U Should Not Be Doing That,800039978,1.0,8,1460,1620,F9V7GqVWSio,source.mp3
Armand Van Helden,I Want Your Soul,44930534,1.0,7,2060,2180,F9V7GqVWSio,source.mp3
"Cloonee, Young M.A & InntRaw",Stephanie (HNTR Remix),811084884,1.0,6,500,640,F9V7GqVWSio,source.mp3
Cloonee & Funkdoobiest,X-Rated,823834618,1.0,6,1100,1200,F9V7GqVWSio,source.mp3
Chris Lorenzo,Mami (feat. COBRAH),617907326,1.0,6,1760,1900,F9V7GqVWSio,source.mp3
"AC Slater, Chris Lorenzo & Fly With Us",Seismic,677694371,1.0,5,960,1040,F9V7GqVWSio,source.mp3
AC Slater & Jamakabi,Connect,810143968,1.0,5,1920,2020,F9V7GqVWSio,source.mp3
AC Slater & Chris Lorenzo,Fly With Us,582461484,1.0,5,2380,2540,F9V7GqVWSio,source.mp3
Fly With Us & Deijuvhs,Blacked Out,717325847,1.0,4,660,780,F9V7GqVWSio,source.mp3
"AC Slater, Chris Lorenzo & Fly With Us",Shrine Banger,674890961,1.0,3,60,100,F9V7GqVWSio,source.mp3
Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti) [Basura Boyz Remix],822586464,1.0,3,280,320,F9V7GqVWSio,source.mp3
Puppah Nas-T & Masters At Work,"Work (MAW Mix) [feat. Denise ""Saucey Wow"" Belfon]",10800454,1.0,3,840,900,F9V7GqVWSio,source.mp3
The Bucketheads,The Bomb! (These Sounds Fall Into My Mind),3049936,1.0,3,1700,1740,F9V7GqVWSio,source.mp3
Chris Lorenzo,Pump,666679484,1.0,3,2200,2280,F9V7GqVWSio,source.mp3
Chris Lorenzo,Pump (AC Slater Remix),694263307,1.0,3,2320,2360,F9V7GqVWSio,source.mp3
R2m,Rave 2000,328824910,0.667,2,0,40,F9V7GqVWSio,source.mp3
"Kevin McKay, Pupa Nas T & Denise Belfon",Work (CVMPANILE & Draxx Remix),678225762,0.667,2,880,940,F9V7GqVWSio,source.mp3
Praise Cats,Shined on Me (feat. Andrea Love),11124262,0.333,1,20,20,F9V7GqVWSio,source.mp3
ARTHUR DE AFC & Funk Beat CAPIXABA,MTG FE!N TAMBORZADA,806453961,0.333,1,120,120,F9V7GqVWSio,source.mp3
MARCKENZO,Fé!N,812786760,0.333,1,140,140,F9V7GqVWSio,source.mp3
"DJ Cali, petrus.wav, DJ Ery & MISSIATTO",FEIN BEAT BOLHA (feat. Mc Delux),823146464,0.333,1,200,200,F9V7GqVWSio,source.mp3
Anthony Selvaggio & David Pintó,Congarama (Glenn Gonzalez Remix),538722802,0.333,1,240,240,F9V7GqVWSio,source.mp3
Proppa & Waka Flocka Flame,Grove St. Party,822914499,0.333,1,260,260,F9V7GqVWSio,source.mp3
DJ Geezy,Game Over (feat. DJ Killer),403587823,0.333,1,360,360,F9V7GqVWSio,source.mp3
Valentino Khan,Deep Down Low,239067086,0.333,1,380,380,F9V7GqVWSio,source.mp3
Marc Marzenit,Perron (Wehbba Remix),264281338,0.333,1,680,680,F9V7GqVWSio,source.mp3
Dosem & Prok & Fitch,Whispers,324345450,0.333,1,720,720,F9V7GqVWSio,source.mp3
Santierri,A Little 5 Hours Story,297078087,0.333,1,760,760,F9V7GqVWSio,source.mp3
Masters At Work,Work,10992394,0.333,1,920,920,F9V7GqVWSio,source.mp3
Volkoder,Soul Sake,713221851,0.333,1,1220,1220,F9V7GqVWSio,source.mp3
Amyl and The Sniffers,U Should Not Be Doing That,698452346,0.333,1,1600,1600,F9V7GqVWSio,source.mp3
Andrea Frisina & Irregular Synth,Dub City,103544543,0.333,1,1640,1640,F9V7GqVWSio,source.mp3
Hi Profile,Harmony,225158854,0.333,1,1680,1680,F9V7GqVWSio,source.mp3
K.K. Project ‎,Everything Counts,826825667,0.333,1,1820,1820,F9V7GqVWSio,source.mp3
Atlantis,Fiji (Lange Remix),219747164,0.333,1,1880,1880,F9V7GqVWSio,source.mp3
Ghostea & Sir Roscoe,Get It,420020275,0.333,1,2260,2260,F9V7GqVWSio,source.mp3
WAD DJ,Badadan Update,832223685,0.333,1,2500,2500,F9V7GqVWSio,source.mp3
Cypress Hill,Insane In the Brain,263051,0.333,1,2580,2580,F9V7GqVWSio,source.mp3
