artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
MPH & AC Slater,Lights On (feat. Eloise Keeble),706840807,1.0,9,1460,1620,MyxKIDR6J4s,source.mp3
Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti) [Basura Boyz Remix],822586464,1.0,6,240,340,MyxKIDR6J4s,source.mp3
Chris Lorenzo,Mami (feat. COBRAH) [AC Slater Remix],635926480,1.0,6,460,560,MyxKIDR6J4s,source.mp3
GENESI & Kino Todo,Criminals Move In Silence,712956947,1.0,6,580,680,MyxKIDR6J4s,source.mp3
Chris Lorenzo,Pump (AC Slater Remix),694263307,1.0,6,1040,1140,MyxKIDR6J4s,source.mp3
Sammy Virji & Interplanetary Criminal,Damager,802127872,1.0,6,1160,1260,MyxKIDR6J4s,source.mp3
"AC Slater, Chris Lorenzo & Fly With Us",Shrine Banger,674890961,1.0,4,0,60,MyxKIDR6J4s,source.mp3
AC Slater,Night Rider (feat. Scrufizzer),659881036,1.0,4,380,440,MyxKIDR6J4s,source.mp3
"AC Slater, Redlight & SadBoi",Bitches Over Boys,808014507,1.0,4,740,840,MyxKIDR6J4s,source.mp3
Gesaffelstein,Control Movement,54044253,1.0,3,120,160,MyxKIDR6J4s,source.mp3
AVAION & oskar med k,Can't find you,821982260,0.667,2,780,880,MyxKIDR6J4s,source.mp3
Peppou,Beliefs (Patryk Molinari Remix),432351421,0.667,2,800,860,MyxKIDR6J4s,source.mp3
MPH,Funk Master,699564411,0.667,2,920,980,MyxKIDR6J4s,source.mp3
Christian Smith,Traction (Paride Saraceni Remix),232697392,0.333,1,80,80,MyxKIDR6J4s,source.mp3
Fly With Us & Deijuvhs,Blacked Out,717325847,0.333,1,100,100,MyxKIDR6J4s,source.mp3
Dosem & Prok & Fitch,Whispers,324345450,0.333,1,180,180,MyxKIDR6J4s,source.mp3
ROBN,Say My Name The End (Remix),710378282,0.333,1,200,200,MyxKIDR6J4s,source.mp3
Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti),52754388,0.333,1,220,220,MyxKIDR6J4s,source.mp3
"antraum, An-Ton & Traumer",Ju (Traumer Sunset Mix),703395362,0.333,1,360,360,MyxKIDR6J4s,source.mp3
Down N Out,Whoahaa,58954073,0.333,1,700,700,MyxKIDR6J4s,source.mp3
Bastetrak,Nuvo -Esperanza-,437826794,0.333,1,720,720,MyxKIDR6J4s,source.mp3
Hamdi,Skanka,595478281,0.333,1,1360,1360,MyxKIDR6J4s,source.mp3
