artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Lost Frequencies & Zak Abel,No Limit (Deluxe Mix),694235199,1.0,10,2080,2260,vOg5ihx81CI,source.mp3
"Lost Frequencies, Bastille & Suark",Head Down (Lost Frequencies & SUARK Deluxe Mix),692042159,1.0,8,2380,2560,vOg5ihx81CI,source.mp3
Lost Frequencies,Jour Meilleur (feat. Orelsan) [Lost Frequencies Edit],671601637,1.0,8,4260,4400,vOg5ihx81CI,source.mp3
Isak Danielson,Broken (Lost Frequencies Cut),662784248,1.0,7,1160,1280,vOg5ihx81CI,source.mp3
Lost Frequencies & Andromedik,The Feeling (Deluxe Mix),673851496,1.0,7,2720,2840,vOg5ihx81CI,source.mp3
Lost Frequencies,Love Is The Only Thing (Deluxe Mix),812283942,1.0,6,0,180,vOg5ihx81CI,source.mp3
Lost Frequencies & David Kushner,In My Bones (Deluxe Mix),704238929,1.0,6,3480,3660,vOg5ihx81CI,source.mp3
Lost Frequencies & Bomfunk MC's,Freestyler (Rock The Microphone),712112674,1.0,6,4560,4700,vOg5ihx81CI,source.mp3
Lost Frequencies & Pickle,Kick The Nation,806737621,1.0,5,1320,1420,vOg5ihx81CI,source.mp3
"Pritam, Arijit Singh & Lost Frequencies",Kesariya (Lost Frequencies Remix),649061474,1.0,5,1500,1580,vOg5ihx81CI,source.mp3
Lost Frequencies,The Feeling,667129458,1.0,5,2600,2680,vOg5ihx81CI,source.mp3
Lost Frequencies,Black Friday (pretty like the sun) [feat. Tom Odell] [deluxe version],717319429,1.0,5,4880,4980,vOg5ihx81CI,source.mp3
Lost Frequencies & Declan J Donovan,Just Wanna Know,679213032,1.0,4,1720,1780,vOg5ihx81CI,source.mp3
Lost Frequencies & Declan J Donovan,Just Wanna Know (Deluxe Mix),694235219,1.0,4,1820,1920,vOg5ihx81CI,source.mp3
LSD,"Thunderclouds (feat. Sia, Diplo & Labrinth) [Lost Frequencies Remix]",444318233,1.0,4,1960,2040,vOg5ihx81CI,source.mp3
Lost Frequencies & Calum Scott,Where Are You Now (Deluxe Mix),596183180,1.0,4,3200,3280,vOg5ihx81CI,source.mp3
Lost Frequencies & David Kushner,In My Bones,695389129,1.0,4,3440,3560,vOg5ihx81CI,source.mp3
Lost Frequencies,All Stand Together (Deluxe Mix),694235200,1.0,4,3900,4020,vOg5ihx81CI,source.mp3
Bomfunk MC's,Freestyler,5753129,1.0,4,4620,4740,vOg5ihx81CI,source.mp3
Lost Frequencies,Love Is The Only Thing,717307287,1.0,3,80,120,vOg5ihx81CI,source.mp3
Lost Frequencies,Recognise (feat. FLYNN) [Deluxe Mix],466549974,1.0,3,520,580,vOg5ihx81CI,source.mp3
Lost Frequencies & Netsky,Leave You In The Past,679213017,1.0,3,2940,3020,vOg5ihx81CI,source.mp3
Lost Frequencies & James Arthur,Questions (Deluxe Remix),629561679,1.0,3,3080,3140,vOg5ihx81CI,source.mp3
Lost Frequencies & Tom Odell,Black Friday (pretty like the sun),706147937,1.0,3,4800,4860,vOg5ihx81CI,source.mp3
Lost Frequencies,Are You with Me (Deluxe Extended Mix),360803107,0.667,2,880,1040,vOg5ihx81CI,source.mp3
DJ Maceun,Outro,706233102,0.667,2,960,980,vOg5ihx81CI,source.mp3
Kevin de Vries & Mau P,Metro,671545181,0.667,2,1660,1680,vOg5ihx81CI,source.mp3
Lost Frequencies & Bastille,Head Down,684925201,0.667,2,2360,2420,vOg5ihx81CI,source.mp3
Lost Frequencies & Calum Scott,Where Are You Now,577551383,0.667,2,3180,3260,vOg5ihx81CI,source.mp3
Lost Frequencies,All Stand Together,679213005,0.667,2,3920,3980,vOg5ihx81CI,source.mp3
smith n wesson,kyle,709574081,0.667,2,4440,4500,vOg5ihx81CI,source.mp3
Lost Frequencies & Tom Gregory,Dive (Deluxe Mix),679464834,0.333,1,300,300,vOg5ihx81CI,source.mp3
Arsen Ramirez,Show Me The Sky,62624170,0.333,1,340,340,vOg5ihx81CI,source.mp3
Neutron,Poly,109127824,0.333,1,380,380,vOg5ihx81CI,source.mp3
DJ Stilo & Mr Thela,Thel'umsindo,429017923,0.333,1,500,500,vOg5ihx81CI,source.mp3
Lost Frequencies,Are You With Me (DIMARO Remix),227747375,0.333,1,780,780,vOg5ihx81CI,source.mp3
Lost Frequencies,Are You with Me,304174982,0.333,1,840,840,vOg5ihx81CI,source.mp3
Andy Compton,That Acid Track,60075046,0.333,1,1300,1300,vOg5ihx81CI,source.mp3
Lost Frequencies & X Ambassadors,Back To You (Afrohouse Deluxe Mix),654585257,0.333,1,1600,1600,vOg5ihx81CI,source.mp3
TXCHI,REMATCH,716681072,0.333,1,2280,2280,vOg5ihx81CI,source.mp3
Hologramª,More (Original),80763568,0.333,1,3580,3580,vOg5ihx81CI,source.mp3
Several Spirits,Blue Coast (Red Eye Mix),61761646,0.333,1,3600,3600,vOg5ihx81CI,source.mp3
Favro,Thank You (feat. Natalie Porto),693938901,0.333,1,4460,4460,vOg5ihx81CI,source.mp3
Odymel,Thank You (Rework),683758177,0.333,1,4520,4520,vOg5ihx81CI,source.mp3
