artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Alan Walker & Sophia Somajo,Diamond Heart,439257118,1.0,12,1640,1860,kJVoFgtqqgs,source.mp3
Alan Walker,Faded,297103606,1.0,10,160,340,kJVoFgtqqgs,source.mp3
"Alan Walker, Au/Ra & Tomine Harket",Darkside,432338272,1.0,10,360,540,kJVoFgtqqgs,source.mp3
"The Walkers, Alan Walker & SAPPHIRE",Unity,479174324,1.0,10,1020,1200,kJVoFgtqqgs,source.mp3
Alan Walker & Sorana,Lost Control,452613664,1.0,10,1440,1620,kJVoFgtqqgs,source.mp3
Alan Walker,Sing Me to Sleep,320036187,1.0,9,560,720,kJVoFgtqqgs,source.mp3
Alan Walker,Alone,335950198,1.0,8,0,140,kJVoFgtqqgs,source.mp3
Sia,Move Your Body (Alan Walker Remix),331817623,1.0,8,1220,1420,kJVoFgtqqgs,source.mp3
Alan Walker & Imanbek,Sweet Dreams,571944387,1.0,8,2060,2200,kJVoFgtqqgs,source.mp3
"K-391, Alan Walker & Ahrix",End of Time,509685580,1.0,7,760,900,kJVoFgtqqgs,source.mp3
"K-391, Alan Walker & Tungevaag",Play (feat. Mangoo),488167953,1.0,4,940,1000,kJVoFgtqqgs,source.mp3
Alan Walker & Sasha Alex Sloan,Hero,664482670,1.0,4,1980,2040,kJVoFgtqqgs,source.mp3
Sia,Move Your Body,308021056,1.0,3,1260,1360,kJVoFgtqqgs,source.mp3
Julia Michaels,Issues,337202397,0.667,2,1880,1900,kJVoFgtqqgs,source.mp3
Julia Michaels,Issues (Acoustic),344137112,0.667,2,1920,1960,kJVoFgtqqgs,source.mp3
K-391,"Ignite (feat. Alan Walker, Julie Bergan & SeungRi)",416879289,0.333,1,740,740,kJVoFgtqqgs,source.mp3
Ahrix,Nova,92664973,0.333,1,780,780,kJVoFgtqqgs,source.mp3
Alan Walker & Ina Wroldsen,Barcelona,702836376,0.333,1,920,920,kJVoFgtqqgs,source.mp3
Julia Michaels,Issues (Alan Walker Remix),353512855,0.333,1,1940,1940,kJVoFgtqqgs,source.mp3
