artist,title,shazam_track_id,confidence,support,first_seen_sec,last_seen_sec,video_id,source_audio
Alan Walker & FAANGS,Heartbreak Melody,831424257,1.0,9,760,940,dGyK53YHl6Y,source.mp3
Alan Walker,Old Habits (feat. farruko & Sofía Reyes) [Main],830584988,1.0,6,1180,1300,dGyK53YHl6Y,source.mp3
Alan Walker,Faded (Dash Berlin Remix),317523221,1.0,4,80,140,dGyK53YHl6Y,source.mp3
Yufo & NLW,Bounce Again (NLW Edit),683617986,1.0,4,480,560,dGyK53YHl6Y,source.mp3
ARHY,Orbit,475338907,1.0,4,680,740,dGyK53YHl6Y,source.mp3
Alan Walker,Faded,297103606,1.0,4,1740,1800,dGyK53YHl6Y,source.mp3
Alan Walker,Alone (Blazars Remix),342412153,1.0,3,240,300,dGyK53YHl6Y,source.mp3
奕晨 & 玄柒,Hiram,632504783,0.667,2,220,320,dGyK53YHl6Y,source.mp3
LMFAO,Party Rock Anthem (feat. Lauren Bennett & GoonRock),53316819,0.667,2,440,460,dGyK53YHl6Y,source.mp3
"K-391, Alan Walker & Tungevaag",Play - Norda & K-391 Remix (feat. Mangoo & Norda),706052999,0.667,2,960,980,dGyK53YHl6Y,source.mp3
"K-391, Alan Walker & Tungevaag",Play (feat. Mangoo & INFANCTUS) [INFANCTUS Remix],499589218,0.667,2,1040,1060,dGyK53YHl6Y,source.mp3
Alan Walker & Farruko,Old Habits (feat. Sofía Reyes) [AW VIP Mix],839555186,0.667,2,1220,1320,dGyK53YHl6Y,source.mp3
"Alan Walker, Dash Berlin & Vikkstar","Better Off (Alone, Pt. III)",677651695,0.667,2,1420,1440,dGyK53YHl6Y,source.mp3
Vol Deeman,Colours (EDU Remix),58904675,0.333,1,20,20,dGyK53YHl6Y,source.mp3
Vintage Culture & gabss,Lost,848416908,0.333,1,260,260,dGyK53YHl6Y,source.mp3
Alphaloud,Alone (Alphaloud Unofficial Remix) [Alan Walker],409640727,0.333,1,340,340,dGyK53YHl6Y,source.mp3
Vikkstar & Adalaide Adams,Chemical,817015434,0.333,1,420,420,dGyK53YHl6Y,source.mp3
TJR,We Wanna Party (feat. Savage),313357790,0.333,1,520,520,dGyK53YHl6Y,source.mp3
Kalas,HSJ (Bonus Track),471075655,0.333,1,620,620,dGyK53YHl6Y,source.mp3
Armin van Buuren & Jorn Van Deynhoven,Lost in Space,577582107,0.333,1,920,920,dGyK53YHl6Y,source.mp3
Doncler,Tesla,430356891,0.333,1,1000,1000,dGyK53YHl6Y,source.mp3
Hunzed vs Staves,Synesthesia (Staves Mix),82182148,0.333,1,1360,1360,dGyK53YHl6Y,source.mp3
DVBBS & Borgeous,Tsunami (Jump) [feat. Tinie Tempah],107630196,0.333,1,1380,1380,dGyK53YHl6Y,source.mp3
Polymath,Alpha Waves,408228261,0.333,1,1680,1680,dGyK53YHl6Y,source.mp3
